word	new_word
남자	남성
남편	남성
아빠	남성
아버지	남성
여자	여성
와이프	여성
엄마	여성
어머니	여성
생리	월경
생리통	월경
피곤하다	피로
피곤	피로
야근	피로
출근	피로
퇴근	피로
힘들다	피로
기력	면역력,피로
졸리다	면역력,피로
졸음	면역력,피로
졸림	면역력,피로
입맛	면역력,피로
몸	면역력,피로
어지럽다	산소,운반
어지러움	산소,운반
어질어질하다	산소,운반
현기증	산소,운반
배	유산균
토	위
구토	위
오바이트	위
체	위
속이다	위
속	유산균
더부룩하다	위
우웩	위
위염	위
헛구역질	위
구역질	위
똥	배변
변비	배변
머리카락	비오틴
모발	비오틴
눈가	마그네슘
근육통	근육
팔	근육
다리	근육
어깨	근육
두통	스트레스
트러블	피부
머리	스트레스
콧	콧물
기침	면역력
이빨	치아
눈	루테인,눈건강,시력
간	간건강,간기능
피로    피로회복, 에너지
스트레스    스트레스완화, 심신안정
면역력    면역력강화, 면역
소화    소화불량, 소화기능
변비    변비개선, 장건강
설사    설사완화, 장
두통    두통완화
불면증    수면, 숙면
감기    감기, 면역력
비염    알레르기, 비염완화
생리통    생리통완화, 여성
갱년기    갱년기증상완화, 여성
피부    피부건강, 피부미용
탈모    탈모예방, 모발건강
다이어트    체지방감소, 다이어트보조
관절    관절건강, 관절염
혈액순환    혈액순환개선, 혈행
콜레스테롤    콜레스테롤개선, 혈관
위    위건강, 소화기능
장    장건강, 유산균
뼈    뼈건강, 골다공증
근육    근육건강, 단백질
혈관    혈관건강, 혈행개선
임신    임산부, 임신준비
수유    수유부, 모유수유
성장    어린이, 성장발육
노화    노년, 항산화
활력    에너지, 피로회복
집중력    기억력, 학습능력
항산화    노화방지, 활성산소
